complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,"The description mentions ""melting"".",
AM-202402,Heat Hazard,Standard,"The description mentions ""dangerous temperatures"".",
AM-202405,Other,Standard,The complaint description is missing or does not identify a supported category.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,"The description mentions ""heatwave"".",
AM-202407,Road Damage,Urgent,"The description mentions ""paving"" and ""child"".",
AM-202410,Pothole,Standard,"The description mentions ""pothole"".",
AM-202414,Streetlight,Standard,"The description mentions ""unlit"".",
AM-202417,Heritage Damage,Standard,"The description mentions ""heritage"".",
AM-202421,Noise,Standard,"The description mentions ""club music"".",
AM-202424,Road Damage,Standard,"The description mentions ""road surface"".",
AM-202429,Heat Hazard,Standard,"The description mentions ""unbearable"".",
AM-202431,Heritage Damage,Standard,"The description mentions ""heritage"".",
AM-202435,Heat Hazard,Standard,"The description mentions ""storing heat"".",
AM-202444,Waste,Standard,"The description mentions ""waste"".",
AM-202445,Heat Hazard,Standard,"The description mentions ""full sun"".",
