complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,"The description mentions ""heritage"".",
KM-202402,Heritage Damage,Standard,"The description mentions ""historic"".",
KM-202405,Noise,Standard,"The description mentions ""wedding band"".",
KM-202409,Pothole,Standard,"The description mentions ""potholes"".",
KM-202410,Pothole,Standard,"The description mentions ""pothole"".",
KM-202411,Pothole,Standard,"The description mentions ""pothole"".",
KM-202415,Other,Standard,The complaint description is missing or does not identify a supported category.,NEEDS_REVIEW
KM-202418,Waste,Standard,"The description mentions ""waste"".",
KM-202421,Road Damage,Urgent,"The description mentions ""sinking"" and ""hospital"".",
KM-202422,Road Damage,Standard,"The description mentions ""road surface"".",
KM-202426,Heritage Damage,Standard,"The description mentions ""heritage"".",
KM-202430,Road Damage,Standard,"The description mentions ""subsided"".",
KM-202434,Heritage Damage,Standard,"The description mentions ""heritage"".",
KM-202436,Streetlight,Standard,"The description mentions ""darkness"".",
KM-202438,Heritage Damage,Standard,"The description mentions ""heritage"".",
